Value,F1,F2,F3,Alpha,Portfolio
TotalReturn,0.080835,0.031755,-0.010615,0.049008,0.110291
Return Attribution,0.065478,-0.000136,-0.004058,0.049008,0.110291
Vol Attribution,0.004552,2.8e-05,0.002622,0.005045,0.012248
