Stock,VaR95,ES95,VaR95_Pct,ES95_Pct
A,95.450285469822,122.81607030865437,0.047725142734911005,0.06140803515432719
B,113.16538678141556,148.7985633376961,0.03772179559380519,0.04959952111256536
Total,151.70820885268103,198.2234342028141,0.030341641770536203,0.03964468684056282
